Value of n,Runtime (nanoseconds)
100,6902
200,7915
300,9128
400,26680
500,128484
600,32349
700,35773
800,29997
900,44562
1000,57390
1100,64412
1200,87367
1300,88420
1400,113522
1500,106204
1600,119538
1700,127014
1800,144965
1900,208651
2000,166799
2100,179936
2200,189319
2300,188448
2400,206296
2500,224423
2600,237073
2700,237189
2800,250103
2900,251699
3000,261869
3100,265253
3200,280003
3300,292374
3400,296887
3500,311236
3600,194013
3700,86534
3800,95292
3900,88145
4000,94726
4100,89741
4200,109446
4300,104230
4400,117130
4500,105508
4600,217094
4700,108755
4800,227099
4900,69278
5000,72808
5100,69638
5200,77181
5300,77203
5400,79048
5500,78967
5600,83242
5700,84176
5800,84616
